Position,Player,Country,Total,R1,R2,R3,R4,Status
T56,Bud Cauley,USA,+10,+2,+2,+2,+4,active
-,Hamilton Coleman,USA,+11,+11,E,-,,active
-,Mateo Pulcini,Argentina,+11,+4,+7,-,,active
-,Jackson Herrington,USA,+9,+5,+4,-,,active
-,Jackson Ormond,USA,+20,+10,+10,-,,active
T23,Ryder Cowan,USA,+5,-2,+2,+2,+3,active
T56,Marek Fleming,USA,+10,+2,+2,+4,+2,active
-,Vaughn Harber,USA,+12,+5,+7,-,,active
-,Chase Kyes,USA,+12,+5,+7,-,,active
T63,Eric Lee,USA,+13,+4,E,+8,+1,active
-,Logan Reilly,USA,+11,+9,+2,-,,active
-,Matthew Robles,USA,+16,+7,+9,-,,active
-,Arni Sveinsson,Iceland,+21,+14,+7,-,,active
-,Jack Schoenberger,USA,+6,+3,+3,-,,active
-,Harris English,USA,+5,+2,+3,-,,active
T65,Russell Henley,USA,+14,E,+3,+10,+1,active
T56,Jordan Spieth,USA,+10,+3,E,+3,+4,active
T65,Andrew Putnam,USA,+14,+4,-2,+4,+8,active
-,Carlos Ortiz,Mexico,+6,+2,+4,-,,active
T11,Tommy Fleetwood,England,+2,E,+1,E,+1,active
T43,Laurie Canter,England,+8,+2,+2,+1,+3,active
T7,Tyrrell Hatton,England,+1,+4,-2,+2,-3,active
-,Patrick Reed,USA,+5,+2,+3,-,,active
T11,Justin Rose,England,+2,+1,E,+3,-2,active
T65,Hideki Matsuyama,Japan,+14,+1,+3,+7,+3,active
T23,Emiliano Grillo,Argentina,+5,+3,E,-3,+5,active
-,Patrick Cantlay,USA,+6,+4,+2,-,,active
-,Brooks Koepka,USA,+10,+3,+7,-,,active
71,Patrick Rodgers,USA,+17,+2,+1,+10,+4,active
T23,Ben Kohles,USA,+5,E,+1,+4,E,active
-,Adrien Saddier,France,+7,+2,+5,-,,active
-,Si Woo Kim,South Korea,+6,+7,-1,-,,active
-,Marcelo Rozo,Colombia,+8,+4,+4,-,,active
T4,Keith Mitchell,USA,E,E,E,E,E,active
-,Ben Silverman,Canada,+8,+4,+4,-,,active
-,Sepp Straka,Austria,+7,+2,+5,-,,active
T43,Michael Kim,USA,+8,+1,+2,E,+5,active
-,Daniel Berger,USA,+10,+7,+3,-,,active
22,Matt Fitzpatrick,England,+4,-3,E,+4,+3,active
T32,Zac Blair,USA,+6,+1,E,+2,+3,active
T23,Corey Conners,Canada,+5,-1,+2,+1,+3,active
-,Cameron Smith,Australia,+6,+5,+1,-,,active
T4,Scottie Scheffler,USA,E,+2,-2,-1,+1,active
-,Alex Smalley,USA,+9,+6,+3,-,,active
T32,Maverick McNealy,USA,+6,+2,-2,+3,+3,active
-,Jon Rahm,Spain,+6,-2,+8,-,,active
-,Jake Knapp,USA,+8,+7,+1,-,,active
-,Hennie Du Plessis,South Africa,+12,+6,+6,-,,active
2,Sam Burns,USA,-3,+1,-2,+1,-3,active
-,Carl Yuan,China,+9,+7,+2,-,,active
