Position,Player,Country,Total,R1,R2,R3,R4,Status
79,Johnny Keefer,USA,+9,+2,+2,-1,+6,active
-,Kota Kaneko,Japan,+5,+3,+2,,,active
T26,Bud Cauley,USA,E,-1,+2,-3,+2,active
-,Chris Gabriele,USA,+14,+7,+7,,,active
-,Derek Berg,USA,+16,+8,+8,,,active
-,Paul McClure,USA,+11,+5,+6,,,active
-,Zach Haynes,USA,+14,+6,+8,,,active
T18,Harris English,USA,-1,+1,-3,+1,E,active
-,Russell Henley,USA,+5,+2,+3,,,active
T18,Jordan Spieth,USA,-1,-1,+2,E,-2,active
T55,Andrew Putnam,USA,+3,-1,+1,E,+3,active
-,Tommy Fleetwood,England,+5,+2,+3,,,active
-,Tyrrell Hatton,England,+6,+2,+4,,,active
T10,Patrick Reed,USA,-3,-2,+2,-3,E,active
T10,Justin Rose,England,-3,E,+3,-5,-1,active
T26,Hideki Matsuyama,Japan,E,E,-3,+1,+2,active
-,Emiliano Grillo,Argentina,+8,+6,+2,,,active
-,Garrett Sapp,USA,+9,+5,+4,,,active
-,Andy Sullivan,England,+5,+2,+3,,,active
T35,Patrick Cantlay,USA,+1,E,-1,+4,-2,active
T70,Luke Donald,England,+7,+1,+3,+4,-1,active
T26,Tom Hoge,USA,E,+2,E,-2,E,active
-,David Lipsky,USA,+6,+4,+2,,,active
-,Lucas Glover,USA,+9,+6,+3,,,active
T55,Brooks Koepka,USA,+3,-1,+2,-2,+4,active
-,Patrick Rodgers,USA,+7,+7,E,,,active
T18,Stephan Jaeger,Germany,-1,-3,E,+3,-1,active
-,Adrien Saddier,France,+12,+5,+7,,,active
T35,Si Woo Kim,South Korea,+1,+1,-3,+2,+1,active
-,Stewart Cink,USA,+6,+4,+2,,,active
T65,Keith Mitchell,USA,+6,+3,-1,+1,+3,active
-,Sepp Straka,Austria,+6,+3,+3,,,active
-,Max Homa,USA,+12,+5,+7,,,active
T44,Michael Kim,USA,+2,+3,E,-3,+2,active
T35,Daniel Berger,USA,+1,+4,E,-1,-2,active
T14,Matt Fitzpatrick,England,-2,E,+2,+1,-5,active
T55,Corey Conners,Canada,+3,-2,+3,+2,E,active
T7,Cameron Smith,Australia,-4,-1,+1,-2,-2,active
T35,Haotong Li,China,+1,+1,-1,+1,E,active
T35,Christiaan Bezuidenhout,South Africa,+1,+2,+2,E,-3,active
T14,Scottie Scheffler,USA,-2,-3,+1,+1,-1,active
T2,Alex Smalley,USA,-6,-3,-1,-2,E,active
-,Jordan Smith,England,+12,+5,+7,,,active
82,Brian Campbell,USA,+18,+2,+2,+12,+2,active
T18,Maverick McNealy,USA,-1,-1,-3,+1,+2,active
-,Ryan Lenahan,USA,+15,+5,+10,,,active
T44,Taylor Pendrith,Canada,+2,+2,+2,-3,+1,active
T2,Jon Rahm,Spain,-6,-1,E,-3,-2,active
T26,Sam Burns,USA,E,E,+2,-3,+1,active
