Position,Player,Country,Total,R1,R2,R3,R4,Status
-,Kota Kaneko,Japan,+9,+2,+7,-,,active
-,Fifa Laopakdee,Thailand,+15,+5,+10,-,,active
-,Jack Buchanan,South Africa,+5,+3,+2,-,,active
T18,Bud Cauley,USA,-3,-2,-2,+3,-2,active
-,Mateo Pulcini,Argentina,+4,+5,-1,-,,active
-,Stuart Grehan,Ireland,+6,+7,-1,-,,active
-,Alejandro de Castro Piera,Spain,+6,+3,+3,-,,active
-,David Howard,Ireland,+3,+4,-1,-,,active
-,Harris English,USA,+2,+3,-1,-,,active
T9,Russell Henley,USA,-5,E,+1,-2,-4,active
-,Jordan Spieth,USA,+10,+3,+7,-,,active
T4,Tommy Fleetwood,England,-7,-1,-3,-1,-2,active
T71,Laurie Canter,England,+6,-1,+1,+4,+2,active
T69,Tyrrell Hatton,England,+5,-1,-2,+4,+4,active
T46,Patrick Reed,USA,E,+2,-4,+1,+1,active
-,Justin Rose,England,+3,+5,-2,-,,active
-,Francesco Laporta,Italy,+9,+4,+5,-,,active
-,Joakim Lagergren,Sweden,+2,-2,+4,-,,active
-,Henrik Stenson,Sweden,+2,-2,+4,-,,active
-,Matthew Baldwin,England,+7,+2,+5,-,,active
T46,Matthew Southgate,England,E,-1,-1,+6,-4,active
T14,Hideki Matsuyama,Japan,-4,+2,-3,-3,E,active
T69,Andy Sullivan,England,+5,E,-1,+3,+3,active
T28,Patrick Cantlay,USA,-2,+1,-2,+1,-2,active
T28,Brooks Koepka,USA,-2,E,+1,-1,-2,active
77,Jack McDonald,Scotland,+8,E,+1,+3,+4,active
-,Adrien Saddier,France,+6,+7,-1,-,,active
-,Joe Dean,England,+4,+2,+2,-,,active
-,Michael Hollick,South Africa,+4,+2,+2,-,,active
T6,Si Woo Kim,South Korea,-6,-2,-3,-3,+2,active
T71,MJ Daffue,South Africa,+6,-3,+2,+2,+5,active
-,Stewart Cink,USA,+8,+4,+4,-,,active
-,Darren Clarke,Northern Ireland,+7,+3,+4,-,,active
-,Keith Mitchell,USA,+3,+2,+1,-,,active
T67,Sepp Straka,Austria,+4,-2,E,+4,+2,active
T28,Max Homa,USA,-2,+1,-1,-3,+1,active
-,Michael Kim,USA,+5,+3,+2,-,,active
-,Daniel Berger,USA,+6,+6,E,-,,active
-,Matt Fitzpatrick,England,+4,+2,+2,-,,active
T14,Corey Conners,Canada,-4,+1,-3,+1,-3,active
-,Cameron Smith,Australia,+2,+3,-1,-,,active
-,Haotong Li,China,+4,+2,+2,-,,active
-,Austen Truslow,USA,+13,+9,+4,-,,active
T4,Scottie Scheffler,USA,-7,-2,-2,E,-3,active
T53,Alex Smalley,USA,+1,-3,+3,-3,+4,active
T18,Jordan Smith,England,-3,-2,E,E,-1,active
-,Maverick McNealy,USA,+3,+1,+2,-,,active
T46,Jon Rahm,Spain,E,-1,-3,E,+4,active
-,Jake Knapp,USA,+2,+1,+1,-,,active
T46,Hennie Du Plessis,South Africa,E,E,-1,-1,+2,active
3,Sam Burns,USA,-8,+3,-8,-5,+2,active
-,Scott Vincent,Zimbabwe,+8,+5,+3,-,,active
